"Case ID","Case","Automation","Configurations","Created at","Created by","Description","Estimate","Expected","Folder","Forecast","Issues","Preconditions","Priority","Scenarios (Step)","State","Status (latest)","Status date","Steps (Expected)","Steps (Step)","Tags","Template","Updated at","Updated by"
"126972","User can go back to v2 from v3 login page","No","","2024-03-26T00:48:37.615Z","Andrew Kwok","","","","Authentication","","ROUT-9589","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Going back to v2 login
	Given a user is on the v3 login page
	When they click on the affordance to go back to the old Routific
	Then they should be taken back to v2 login page</code></pre>","Active","Skipped","2025-07-28T19:44:37.794Z","","","","BDD Feature","2024-03-26T00:49:35.656Z","Andrew Kwok"
"1561534","Verify Email for existing users","No","","2025-09-26T20:27:23.698Z","Peter Kemp","","","","Authentication","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Unverified user cannot use web app
	Given a user is unverified
	When they log into the web app
	Then there will be a blocking modal prompting them to verify
	And they can request a verification code
	And they cannot access the app</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Existing user can verify email 
	Given a user is unverified
	And has a valid verification code
	When they log into the web app
	And input their verification code
	Then their account will be verified
	And they will be able to access the rest of the app</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Unverified drivers can still access mobile
    Given a user is unverified
	When they log into the mobile app
    Then they can use the mobile app as normal</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Unverified account can still use API integration
    Given an unverified user account
    And they see a blocking modal when they log in on the web app but don't verify
    Then they can use the API integration as normal</code></pre>","Active","Passed","2026-01-09T21:44:41.045Z","","","","BDD Feature","2026-01-21T17:30:15.169Z","Jenya Farris"
"1775709","Driver accidentally logging in will be guided","No","","2026-01-06T21:26:45.674Z","Marc","","","","Authentication","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Driver accidentally logging into web app
    Given a user with only driver permissions
    When they log into the web app
    Then we will show guidance to download and use the mobile app instead
    And there will be an explanation that if they need dispatcher access, they should reach out to their admin</code></pre>","Draft","","","","","","BDD Feature","2026-01-21T15:55:00.592Z","Jenya Farris"
"16","Requesting password reset","No","","2024-01-31T03:06:04.906Z","Andrew Kwok","","","","Password Reset","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reset password for a valid email
	Given a user has an account previously created
	When user requests a password reset with a valid email
	Then the user should receive an email with instructions to reset their password
	And the name of the sender should be 'Routific'
	And the user can reset their account's password by following the link in the email</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reset password for an invalid email
	When a user requests a password reset for an email not linked to any Routific account
	Then the user should not receive a password reset email</code></pre>","Active","Passed","2025-07-28T19:47:49.093Z","","","","BDD Feature","2026-01-21T18:44:14.963Z","Teja Vajha"
"20","Update password from reset page","No","","2024-01-31T03:06:04.912Z","Andrew Kwok","","","","Password Reset","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Update password and login
	Given the user received a password reset email
	When the user follows the reset links and updates their password
	Then the user receives a success notification email
	And is able to login to the app using the new password</code></pre>","Active","Passed","2025-07-28T19:47:49.093Z","","","","BDD Feature","2025-11-20T18:43:03.846Z","Teja Vajha"
"1775708","Seeing my information on the account settings page","No","","2026-01-06T21:19:11.262Z","Marc","","","","Account Settings","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Navigating to the Accounts Settings page
  Given a user is logged in 
  When a user clicks on the ""Account Settings"" menu
  Then they will see their name, email, roles, and the company they belong to
  And a shortcut link to navigate to company settings</code></pre>","Active","Passed","2026-01-09T23:02:15.975Z","","","","BDD Feature","2026-01-16T17:24:21.104Z","Teja Vajha"
"1835091","Existing user can accept invitation to join a company on web","No","","2026-01-21T15:49:58.218Z","Jenya Farris","","","","Join Company","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Existing user can see invite to join another company on web app
  Given a user has a Routific account
  And they have a pending invite
  When they log in on the web app or their page is refreshed while logged in
  Then they see a notification on the account button in the nav bar
  And an invitation in their account settings page
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Accept invite from existing account
  Given a user has a Routific account
  When they accept a pending invite
  Then their org is updated to the inviting org
  And their roles are replaced with the roles in the invite
  And any driver profiles associated with past orgs are disconnected from their user
  And they are logged out and taken to the Login screen</code></pre>","Active","Passed","2026-01-21T23:20:56.759Z","","","","BDD Feature","2026-01-21T17:03:36.052Z","Jenya Farris"
"924","Supported upload formats","No","","2024-02-02T06:18:36.699Z","Andrew Kwok","","","","CSV Upload","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders in supported file formats
	When a user uploads orders in supported file formats of csv or xlsx
	Then orders are successfully created
	And an Orders Created analytics event is triggered</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload CSV files with comma separation
  Given the user has a CSV file with comma separated data
  When the user uploads that CSV file
  Then they should not see any errors about delimeter usage</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload CSV files with semicolon separation
  Given the user has a CSV file with semicolon separated data
  When the user uploads that CSV file
  Then they should not see any errors about delimeter usage</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reject CSV files with mixed delimiter characters
  Given the user has a CSV file with mixed delimiter characters, such as commas and semicolons
  When the user attempts to upload the CSV file
  Then the system should reject the file
  And display an error message indicating invalid delimiter usage</code></pre>","Active","Passed","2025-10-31T14:48:38.726Z","","","","BDD Feature","2025-11-21T17:20:42.432Z","Teja Vajha"
"912","Download example template for uploading orders","No","","2024-02-02T05:30:08.554Z","Andrew Kwok","","","","CSV Upload","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can download a sample CSV for uploading orders
	Given the user has no unscheduled orders for the selected date
	When the user navigates to the unscheduled orders tray in route page
	Then the user can view an option to download sample orders file</code></pre>","Active","Passed","2025-07-14T19:41:16.215Z","","","","BDD Feature","2025-11-21T17:51:44.676Z","Teja Vajha"
"926","Cannot upload invalid CSV files","No","","2024-02-02T06:32:30.736Z","Andrew Kwok","","","","CSV Upload","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reject CSV files with empty header rows
  Given the user has a CSV file no data in the first row
  When the user attempts to upload the CSV file
  Then the system should reject the file
  And display an error message indicating that the first row cannot be empty
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reject CSV files with metadata above the header row
  Given the user has a CSV file with metadata above the header row
  When the user uploads the CSV file
  Then the first row's data will be used to show which columns are available for upload
</code></pre>","Active","Passed","2025-07-14T19:42:13.381Z","","","","BDD Feature","2025-11-21T17:55:45.257Z","Teja Vajha"
"1436651","View orders immediately after upload","No","","2025-07-31T18:00:18.852Z","Jenya Farris","","","","CSV Upload","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can see orders have been created while they are geocoding
  When a user uploads a list of orders
  Then they will see those orders immediately
  And which ones are still geocoding</code></pre>","Active","","","","","","BDD Feature","2025-11-21T17:56:50.179Z","Teja Vajha"
"1674140","Map columns for first time upload","No","","2025-11-21T18:25:54.307Z","Teja Vajha","","","","Mapping uploaded data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can map columns to order fields during first time upload
	Given a new workspace is created
	When user uploads an orders csv file
	Then the user is prompted to map order fields to file columns</code></pre>","Active","","","","","","BDD Feature","2025-11-21T18:58:00.725Z","Teja Vajha"
"41","Previous mapping is applied when no new fields are detected","No","","2024-01-31T03:06:04.959Z","Andrew Kwok","","","","Mapping uploaded data","","ROUT-9312","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Skip mapping when a file is recognized
	Given the user has existing CSV mappings
	And the CSV has no errors
  	When the user submits orders for creation
  	Then they should be able to see their created orders</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Multiple columns match a mapped field
  Given a user has an order file format with two ""Customer Address"" fields
  And they have mapped one of those columns to Routic's ""Address"" field
  When the user uploads an order file with the same format
  // Same format is defined by the column headers names and sequence being identical
  Then their column mapping should be remembered
  And they are not asked to map their data again</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Mapped columns are remembered when column sequence changes
  Given a user has an order file format with ""Customer Address""
  And ""Customer Address"" is the first column in their file format
  And has mapped ""Customer Address"" to Routific's ""Address"" field
  When the user changes the ""Customer Address"" to be the second column in their file format
  And uploads the order file
  Then ""Customer Address"" should be remembered as mapped to ""Address""
  And they should not be asked to map their data again.</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Remember overrides of default mappings
  Given a user has an order file format containing ""Customer Address"" and ""Address"" columns
  And they have previously mapped ""Customer Address"" to Routific's ""Address"" field
  When they upload the same file format again
  Then ""Customer Address"" should be remembered as mapped to ""Address""
  And they should not be asked to map their data again.</code></pre>","Active","Passed","2025-07-14T19:45:17.793Z","","","","BDD Feature","2025-11-21T20:19:34.792Z","Teja Vajha"
"921","User can see data errors in orders they uploaded","No","","2024-02-02T06:09:09.596Z","Andrew Kwok","","","","Managing errors in uploaded data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can see the data errors in uploaded orders
  Given a spreadsheet uploaded with orders
  And at least one of the orders has data incompatible with the mapped field
  And the spreadsheet has been mapped
  When the user uploads it
  Then they see a list of orders with data errors
  And they can edit the data on screen to fix the errors</code></pre>","Active","Passed","2025-07-14T19:46:29.450Z","","","","BDD Feature","2025-11-21T18:59:38.384Z","Teja Vajha"
"923","User can go back to remap their columns when fixing data errors","No","","2024-02-02T06:17:07.987Z","Andrew Kwok","","","","Managing errors in uploaded data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can go back to mapping step during upload
  Given a user has uploaded a file without a recognized mapping
  And some of the rows have errors
  When they are reviewing errors
  Then the user can go back to update the mapping</code></pre>","Active","Passed","2025-07-14T19:46:45.461Z","","","","BDD Feature","2025-11-21T18:59:57.674Z","Teja Vajha"
"922","User can navigate errors in their data using keyboard shortcuts","No","","2024-02-02T06:14:49.893Z","Andrew Kwok","","","","Managing errors in uploaded data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scanrio: Navigating through rows and columns when fixing spreadsheet upload errors
	Given the user has uploaded a spreadsheet with incompatible data
	When user attempts to fix these errors
	Then the user should be able navigate through the rows and columns using key board shortcuts of tab, shift+tab, enter, shift+enter.</code></pre>","Active","Passed","2025-07-14T19:46:39.036Z","","","","BDD Feature","2025-11-21T19:04:13.834Z","Teja Vajha"
"911","User can upload poorly formatted file of orders","No","","2024-02-02T05:10:10.616Z","Andrew Kwok","","","","Managing errors in uploaded data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Ignore empty lines in the CSV file
  Given the user has an order file with empty lines
  When the user uploads the file
  Then the system should remove any empty lines</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Ignore leading and trailing whitespace characters
  Given the user has an order file with leading and trailing whitespaces in data cells
  When the user uploads the file
  Then the system should remove the leading and trailing whitespaces in the data</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Ignore columns with empty header cells
  Given the user has an order file with an empty cell in the first row
  When the user tries to upload the file
  Then we ignore that column
  And allow the upload to proceed with the data in columns that have headers</code></pre>","Active","Passed","2025-07-14T19:36:24.747Z","","","","BDD Feature","2025-11-21T19:05:06.834Z","Teja Vajha"
"326675","User can upload csv with errors in some rows","No","","2024-06-03T18:11:49.492Z","Adam","","","","Managing errors in uploaded data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario:Some rows in the mapped CSV has errors 
	Given the user uploaded a CSV file where some the rows have errors 
	And they are shown the errored rows upon submission 
	When user chooses to continue uploading without fixing all the errored rows 
	Then the errored rows are discarded 
	And only the good rows are submitted for order creation</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reject order CSV upload if all rows have errors
	Given the user has a CSV file where all the rows have errors 
	When the user attempts to upload the file
	The user is blocked from proceeding to create orders</code></pre>","Active","Passed","2025-07-14T19:42:01.926Z","","","","BDD Feature","2025-11-21T19:04:53.834Z","Teja Vajha"
"39","User can upload orders with custom field data","No","","2024-01-31T03:06:04.956Z","Andrew Kwok","","","","Supported order data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with custom field data
	Given user has a spreadsheet with custom field data for orders
	When uploading the spreadsheet of orders
	Then user should be able to map custom field data to orders
	And successfully upload the spreadsheet</code></pre>","Active","Passed","2025-07-14T19:35:58.699Z","","","","BDD Feature","2025-11-21T19:08:52.493Z","Teja Vajha"
"913","User can upload orders containing questionable addresses","No","","2024-02-02T05:31:03.742Z","Andrew Kwok","","","","Supported order data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with questionable addresses
	Given user has a spreadsheet with questionable addresses
	When uploading the spreadsheet of orders
	Then the speadsheet should be successfully uploaded
	And the orders with questionable addresses are flagged</code></pre>","Active","Passed","2025-07-25T19:35:39.651Z","","","","BDD Feature","2025-11-21T19:10:34.511Z","Teja Vajha"
"914","User can upload orders containing invalid addresses","No","","2024-02-02T05:31:10.620Z","Andrew Kwok","","","","Supported order data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with invalid addresses
	Given user has a spreadsheet with invalid address data for orders
	When uploading the spreadsheet of orders
	Then user should be able to successfully upload the orders
	And orders with invalid addresses are flagged to the user for review</code></pre>","Active","Passed","2025-07-14T19:41:26.124Z","","","","BDD Feature","2025-11-21T19:13:05.811Z","Teja Vajha"
"915","Upload orders with addresses split into multiple fields","No","","2024-02-02T05:31:38.697Z","Andrew Kwok","","","","Supported order data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with address information mapped to different columns
	Given the orders spreadsheet has address information split into multiple columns
	When uploading the spreadsheet of orders
	Then user should be able to map address data columns
	And successfully upload the spreadsheet</code></pre>","Active","Passed","2025-07-14T19:43:08.912Z","","","","BDD Feature","2025-11-21T19:17:37.297Z","Teja Vajha"
"918","Uploading orders with lat/lng or addresses","No","","2024-02-02T05:49:28.358Z","Andrew Kwok","","","","Supported order data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with address and no lat/lng
	Given an order has an address string
	When the user uploads the CSV
	Then CSV upload should be successful
	And the address should be geocoded</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with lat/lng and no address
	Given an order has valid lat/lng and no address
	When the user uploads the CSV
	Then CSV upload should be successful</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with lat/lng and address
	Given an order has valid lat/lng and an address
	When the user uploads the CSV
	Then the upload should be successful 
	But the addresses are not geocoded
	And the suppled lat/lng are used instead</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with a lat but no lng 
	Given an order has lat but no lng
	When the user uploads the CSV
	Then CSV upload should result in an error</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with a lng but no lat 
	Given an order has lng but no lat
	When the user uploads the CSV
	Then CSV upload should result in an error</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload rejected when an order has no valid location data
	Given an order has no address or valid lat/lng
	When the user uploads the CSV
	Then CSV upload should be blocked and flag the error row</code></pre>","Active","Passed","2025-07-28T21:25:51.974Z","","","","BDD Feature","2025-11-21T19:22:10.965Z","Teja Vajha"
"919","Uploading orders with phone numbers","No","","2024-02-02T05:53:59.987Z","Andrew Kwok","","","","Supported order data","","","","Normal","<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Assuming country code for phone numbers based on user's IP location
  Given a user has a file of orders to upload
  And the file contains an order with a phone number lacking a country code
  When the user uploads the file
  Then the system should assume the country code based on the user's IP location
  And the phone number is peresisted and normalized according to the E.164 format
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Uploading an order with a phone number having a foreign country code
  Given the user has a file of orders
  And the file contains an order with a phone number including a foreign country code
  When the user uploads that file
  Then the system should correctly process the phone number with the provided foreign country code
  And the phone number is peresisted and normalized according to the E.164 format</code></pre>","Active","Passed","2025-07-28T21:25:51.974Z","","","","BDD Feature","2025-11-21T19:22:28.935Z","Teja Vajha"
