Case ID,Case,Created at,Folder,Scenarios (Step),State
1835091,Existing user can accept invitation to join a company on web,2026-01-21T15:49:58.218Z,Join Company,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Existing user can see invite to join another company on web app
  Given a user has a Routific account
  And they have a pending invite
  When they log in on the web app or their page is refreshed while logged in
  Then they see a notification on the account button in the nav bar
  And an invitation in their account settings page
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Accept invite from existing account
  Given a user has a Routific account
  When they accept a pending invite
  Then their org is updated to the inviting org
  And their roles are replaced with the roles in the invite
  And any driver profiles associated with past orgs are disconnected from their user
  And they are logged out and taken to the Login screen</code></pre>",Active
924,Supported upload formats,2024-02-02T06:18:36.699Z,CSV Upload,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders in supported file formats
	When a user uploads orders in supported file formats of csv or xlsx
	Then orders are successfully created
	And an Orders Created analytics event is triggered</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload CSV files with comma separation
  Given the user has a CSV file with comma separated data
  When the user uploads that CSV file
  Then they should not see any errors about delimeter usage</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload CSV files with semicolon separation
  Given the user has a CSV file with semicolon separated data
  When the user uploads that CSV file
  Then they should not see any errors about delimeter usage</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reject CSV files with mixed delimiter characters
  Given the user has a CSV file with mixed delimiter characters, such as commas and semicolons
  When the user attempts to upload the CSV file
  Then the system should reject the file
  And display an error message indicating invalid delimiter usage</code></pre>",Active
912,Download example template for uploading orders,2024-02-02T05:30:08.554Z,CSV Upload,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can download a sample CSV for uploading orders
	Given the user has no unscheduled orders for the selected date
	When the user navigates to the unscheduled orders tray in route page
	Then the user can view an option to download sample orders file</code></pre>",Active
926,Cannot upload invalid CSV files,2024-02-02T06:32:30.736Z,CSV Upload,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reject CSV files with empty header rows
  Given the user has a CSV file no data in the first row
  When the user attempts to upload the CSV file
  Then the system should reject the file
  And display an error message indicating that the first row cannot be empty
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reject CSV files with metadata above the header row
  Given the user has a CSV file with metadata above the header row
  When the user uploads the CSV file
  Then the first row's data will be used to show which columns are available for upload
</code></pre>",Active
1436651,View orders immediately after upload,2025-07-31T18:00:18.852Z,CSV Upload,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can see orders have been created while they are geocoding
  When a user uploads a list of orders
  Then they will see those orders immediately
  And which ones are still geocoding</code></pre>",Active
1674140,Map columns for first time upload,2025-11-21T18:25:54.307Z,Mapping uploaded data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can map columns to order fields during first time upload
	Given a new workspace is created
	When user uploads an orders csv file
	Then the user is prompted to map order fields to file columns</code></pre>",Active
41,Previous mapping is applied when no new fields are detected,2024-01-31T03:06:04.959Z,Mapping uploaded data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Skip mapping when a file is recognized
	Given the user has existing CSV mappings
	And the CSV has no errors
  	When the user submits orders for creation
  	Then they should be able to see their created orders</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Multiple columns match a mapped field
  Given a user has an order file format with two ""Customer Address"" fields
  And they have mapped one of those columns to Routic's ""Address"" field
  When the user uploads an order file with the same format
  // Same format is defined by the column headers names and sequence being identical
  Then their column mapping should be remembered
  And they are not asked to map their data again</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Mapped columns are remembered when column sequence changes
  Given a user has an order file format with ""Customer Address""
  And ""Customer Address"" is the first column in their file format
  And has mapped ""Customer Address"" to Routific's ""Address"" field
  When the user changes the ""Customer Address"" to be the second column in their file format
  And uploads the order file
  Then ""Customer Address"" should be remembered as mapped to ""Address""
  And they should not be asked to map their data again.</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Remember overrides of default mappings
  Given a user has an order file format containing ""Customer Address"" and ""Address"" columns
  And they have previously mapped ""Customer Address"" to Routific's ""Address"" field
  When they upload the same file format again
  Then ""Customer Address"" should be remembered as mapped to ""Address""
  And they should not be asked to map their data again.</code></pre>",Active
921,User can see data errors in orders they uploaded,2024-02-02T06:09:09.596Z,Managing errors in uploaded data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can see the data errors in uploaded orders
  Given a spreadsheet uploaded with orders
  And at least one of the orders has data incompatible with the mapped field
  And the spreadsheet has been mapped
  When the user uploads it
  Then they see a list of orders with data errors
  And they can edit the data on screen to fix the errors</code></pre>",Active
923,User can go back to remap their columns when fixing data errors,2024-02-02T06:17:07.987Z,Managing errors in uploaded data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can go back to mapping step during upload
  Given a user has uploaded a file without a recognized mapping
  And some of the rows have errors
  When they are reviewing errors
  Then the user can go back to update the mapping</code></pre>",Active
922,User can navigate errors in their data using keyboard shortcuts,2024-02-02T06:14:49.893Z,Managing errors in uploaded data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scanrio: Navigating through rows and columns when fixing spreadsheet upload errors
	Given the user has uploaded a spreadsheet with incompatible data
	When user attempts to fix these errors
	Then the user should be able navigate through the rows and columns using key board shortcuts of tab, shift+tab, enter, shift+enter.</code></pre>",Active
911,User can upload poorly formatted file of orders,2024-02-02T05:10:10.616Z,Managing errors in uploaded data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Ignore empty lines in the CSV file
  Given the user has an order file with empty lines
  When the user uploads the file
  Then the system should remove any empty lines</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Ignore leading and trailing whitespace characters
  Given the user has an order file with leading and trailing whitespaces in data cells
  When the user uploads the file
  Then the system should remove the leading and trailing whitespaces in the data</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Ignore columns with empty header cells
  Given the user has an order file with an empty cell in the first row
  When the user tries to upload the file
  Then we ignore that column
  And allow the upload to proceed with the data in columns that have headers</code></pre>",Active
326675,User can upload csv with errors in some rows,2024-06-03T18:11:49.492Z,Managing errors in uploaded data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario:Some rows in the mapped CSV has errors 
	Given the user uploaded a CSV file where some the rows have errors 
	And they are shown the errored rows upon submission 
	When user chooses to continue uploading without fixing all the errored rows 
	Then the errored rows are discarded 
	And only the good rows are submitted for order creation</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Reject order CSV upload if all rows have errors
	Given the user has a CSV file where all the rows have errors 
	When the user attempts to upload the file
	The user is blocked from proceeding to create orders</code></pre>",Active
39,User can upload orders with custom field data,2024-01-31T03:06:04.956Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with custom field data
	Given user has a spreadsheet with custom field data for orders
	When uploading the spreadsheet of orders
	Then user should be able to map custom field data to orders
	And successfully upload the spreadsheet</code></pre>",Active
913,User can upload orders containing questionable addresses,2024-02-02T05:31:03.742Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with questionable addresses
	Given user has a spreadsheet with questionable addresses
	When uploading the spreadsheet of orders
	Then the speadsheet should be successfully uploaded
	And the orders with questionable addresses are flagged</code></pre>",Active
914,User can upload orders containing invalid addresses,2024-02-02T05:31:10.620Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with invalid addresses
	Given user has a spreadsheet with invalid address data for orders
	When uploading the spreadsheet of orders
	Then user should be able to successfully upload the orders
	And orders with invalid addresses are flagged to the user for review</code></pre>",Active
915,Upload orders with addresses split into multiple fields,2024-02-02T05:31:38.697Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with address information mapped to different columns
	Given the orders spreadsheet has address information split into multiple columns
	When uploading the spreadsheet of orders
	Then user should be able to map address data columns
	And successfully upload the spreadsheet</code></pre>",Active
918,Uploading orders with lat/lng or addresses,2024-02-02T05:49:28.358Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with address and no lat/lng
	Given an order has an address string
	When the user uploads the CSV
	Then CSV upload should be successful
	And the address should be geocoded</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with lat/lng and no address
	Given an order has valid lat/lng and no address
	When the user uploads the CSV
	Then CSV upload should be successful</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with lat/lng and address
	Given an order has valid lat/lng and an address
	When the user uploads the CSV
	Then the upload should be successful 
	But the addresses are not geocoded
	And the suppled lat/lng are used instead</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with a lat but no lng 
	Given an order has lat but no lng
	When the user uploads the CSV
	Then CSV upload should result in an error</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload orders with a lng but no lat 
	Given an order has lng but no lat
	When the user uploads the CSV
	Then CSV upload should result in an error</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Upload rejected when an order has no valid location data
	Given an order has no address or valid lat/lng
	When the user uploads the CSV
	Then CSV upload should be blocked and flag the error row</code></pre>",Active
919,Uploading orders with phone numbers,2024-02-02T05:53:59.987Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Assuming country code for phone numbers based on user's IP location
  Given a user has a file of orders to upload
  And the file contains an order with a phone number lacking a country code
  When the user uploads the file
  Then the system should assume the country code based on the user's IP location
  And the phone number is peresisted and normalized according to the E.164 format
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Uploading an order with a phone number having a foreign country code
  Given the user has a file of orders
  And the file contains an order with a phone number including a foreign country code
  When the user uploads that file
  Then the system should correctly process the phone number with the provided foreign country code
  And the phone number is peresisted and normalized according to the E.164 format</code></pre>",Active
925,User can upload orders with time windows,2024-02-02T06:29:35.492Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Accept overnight time windows in orders
  Given the user uploads an order file with an order having a time window of ""&lt;startTime&gt; to &lt;endTime&gt;""
  When the system processes the file
  Then it should accept the time window as valid

  Examples: 
    | startTime | endTime |
    | 23:00     | 03:00   |
    | 22:00     | 02:00   |</code></pre>",Active
459754,User can upload orders with their own Order Number,2024-07-23T00:10:58.458Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User provides their own Order Number 
	Given the user mapped a column to Order Number duing file upload 
	When the orders are created from the uploaded spreadsheet 
	Then the user provided order number is visible whereever in the app users view an order</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User tries to create order with erronoeous order number 
	Given the user provides an order number that is larger than 255 characters 
	When they are upload the spreadsheet 
	Then they are blocked in the upload flow And shown an error for the respective order</code></pre>",Active
1238076,User can upload orders with a delivery date,2025-05-30T17:56:26.445Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can upload orders with a delivery date
  Given a user has a file of orders to upload
  And the file contains an order with a delivery date 
  When the user uploads the file
  Then they should see each order on its respective delivery date</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Invalid dates show accepted formats
    Given a user's organization date format preference is set to Auto
    When I upload a CSV file that includes invalid delivery dates
    Then Routific shows an error message indicating which rows are invalid
    And the message lists the accepted formats for correction</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Routific automatically identifies the correct format 
	Given a user's organization preference for date format is set to Auto 
	And the CSV file consistently uses one date format
	When the user uploads the file 
	Then Routific automatically detects the correct format 
	And completes the upload successfully</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block""> Scenario: Date format auto detection fails and falls back to browser locale
    Given a user's organization date format preference is set to Auto
    And the CSV has ambiguous dates that could match more than one format 
    When I upload the file
    And Routific can automatically detect the right format based on my browser locale
    And completes the upload successfully
</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Default date format behavior for new organizations
    Given a user's organization has never set a date format preference
    When I upload a CSV with any supported date format
    Then Routific automatically detects the correct format
    And creates the orders successfully</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block""> Scenario: Organization preference is respected for ambiguous dates
    Given a user's organization date format preference is set to a non-automatic prefernce
    When I upload a CSV file with dates that could be interpreted as ambigious
    Then Routific interprets the ambigious dates based on the organization's prefernce
    And the orders are created without errors</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block""> Scenario: Routific retries failed validations against other supported formats
    Given a user's organization date format preference is set to a non-automatic preference
    When I upload a CSV file with dates that do not match the prescribed preference
    Then Routific can automatically interpret the dates through other supported formats
    And create the orders without errors</code></pre>",Active
1629101,User can upload orders with package barcodes,2025-11-05T18:05:57.407Z,Supported order data,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Map spreadsheet column to barcode data
	Given the user is uploading data via spreasheet
	And they are mapping spreadsheet columns
	Then they can map a column in the spreadsheet to barcodes</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Auto map spreadsheet column to Barcode 
	Given the user is uploading data via spreasheet
	And the spreadsheet has a column with header  ""Barcode' 
	Then Routific auto maps the column to barcode data</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Barcode is longer than 128 character
	Given user mapped a spreadsheet column to barcode
	And the barcode data was longer than 128 character for some rows
	Then Routific errors the rows where barcode data was longer than 128 character</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Single order has multiple barcodes
	Given user mapped a spreadsheet column to barcode
	And some orders had muliple barcodes separated by comma(,)
	Then Routific successfully parses those barcodes separately</code></pre>",Active
390143,Create a single order,2024-06-20T14:54:54.527Z,Order Form,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can visualize the location of an address when creating a new order
	Given the user has order modal open to create a new order
	When the user enters an address string
	Then the selected address's location is visible on a map within the order modal</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Requiring address selection from autocomplete for order submission
    Given a user is on the order creation form
    When the user enters an address
    And searches for the address
    Then the user should see a list of results
    And user can choose to select one of the addresses
    And submit the form to create an order</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Map shows user's ip-geolocation when adding new order
	Given a user has enabled location permissions on the browser settings
	When the user chooses to create a new order
	Then the map in the add order modal should pan to center of user's ip-geolocated location</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Map pans to vancouver region when adding new order
	Given user has disabled location permissions on the browser settings
	When the user chooses to create a new order
	Then the map in the add order modal should pan to center of vancouver region</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can save an order just by placing a pin on map
	When a user creates a new order manually
	And assigns the location for the order through the pin editing view
	Then the order is saved with the selected coordinates as the location</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User can create a single order
	When a user creates a new order manually
	Then the order is created in an unscheduled state
	And an Orders Created analytics event is triggered </code></pre>",Active
611248,Create orders from the orders page,2024-08-26T18:26:50.199Z,Order Form,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User bulk creates orders via file upload
	Given the user is on Orders Page and triggers the order creation via file upload flow
	When the orders are created
	Then the user is taken to the top of page 1 of the table
	And the newly created orders are visible at the top of the stack</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: User creates a single order from orders page
	Given the user is on Orders Page and triggers the manual order creation flow
	When the order is created
	Then the user is taken to the top of page 1 of the table
	And the newly created order is visible there</code></pre>",Active
38,Create an order with open-ended time windows,2024-01-31T03:06:04.955Z,Order Form,"<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Create an order with deliver before time
	When a user opens the order creation modal
	Then user can create an order with a deliver before time window.</code></pre>
<pre><code class=""editor-gherkin language-gherkin code-block"">Scenario: Create an order with deliver after time
	When a user opens the order creation modal
	Then user can create an order with a deliver after time window.</code></pre>",Active
